scrapedate,lastupdated,stateagency,facility,fac_city,fac_state,facilitytype,fac_inc_positive,fac_inc_active,fac_inc_recovered,fac_inc_deaths,fac_staff_positive,fac_staff_active,fac_staff_recovered,fac_staff_deaths,fac_inc_tested,fac_inc_pending,fac_inc_positivetests,fac_staff_vaccinated,fac_inc_vaccinated,sum_inc_population,sum_inc_population_bopmanaged,sum_inc_population_community,sum_staff_population,facility_bjs,fac_address,fac_zip,fac_facilitytype,sum_inc_pop,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_inc_pop_bopmanaged,sum_inc_pop_community,sum_staff_deaths,sum_staff_positive,sum_staff_pop,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linkTexast,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,bjs_fac_notes2,oldnew
03/18/2020,NR,BOP,ACS Corrections (RRC),Del Valle,Texas,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3154 East Hwy 71, Del Valle, Texas 78617",78617,NR,NR,0,0,NR,NR,NR,0,0,NR,not in BJS,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,old
03/18/2020,,BOP,Bastrop FCI,Bastrop,Texas,,,,,,,,,,,,,,,,,,,BASTROP FCI,1341 HIGHWAY 95 NORTH,78602,,,0,0,,,,0,0,,in BJS (matched),Texas,4.46012E+20,4.46012E+20,BASTROP FCI,1341 HIGHWAY 95 NORTH,BASTROP,Texas,78602,Males only,Minimum/low,None,Federal Bureau of Prisons,1215,,Yes,Bastrop-Camp,No,No,,,old
03/18/2020,,BOP,Beaumont Low FCI,Beaumont,Texas,,,,,,,,,,,,,,,,,,,BEAUMONT LOW FCI,5560 KNAUTH RD,77705,,,0,0,,,,0,0,,in BJS (matched),Texas,4.46124E+20,,BEAUMONT LOW FCI,5560 KNAUTH RD,BEAMONT,Texas,77705,Males only,Minimum/low,None,Federal Bureau of Prisons,2000,,No,,No,No,Complex = Beaumont FCC,,old
03/18/2020,,BOP,Beaumont Medium FCI,Beaumont,Texas,,,,,,,,,,,,,,,,,,,BEAUMONT MED FCI,5830 KNAUTH RD,77705,,,0,0,,,,0,0,,in BJS (matched),Texas,4.46124E+20,,BEAUMONT MED FCI,5830 KNAUTH RD,BEAUMONT,Texas,77705,Males only,Medium,None,Federal Bureau of Prisons,1560,,No,,No,No,Complex = Beaumont FCC,,old
03/18/2020,,BOP,Beaumont USP,Beaumont,Texas,,,,,,,,,,,,,,,,,,,BEAUMONT USP,6200 KNAUTH RD,77705,,,0,0,,,,0,0,,in BJS (matched),Texas,4.46124E+20,4.46124E+20,BEAUMONT USP,6200 KNAUTH RD,BEAUMONT,Texas,77705,Males only,Maximum/close/high,None,Federal Bureau of Prisons,1479,,Yes,Beaumont USP-Camp,No,No,Complex = Beaumont FCC,,old
03/18/2020,,BOP,Big Spring (Flightline) CI,Inez,Texas,,,,,,,,,,,,,,,,,,,,"2001 RICKABAUGH DRIVE BIG SPRING, Texas 79720",79720,,,0,0,,,,0,0,,not in BJS,,,,,,,,,,,,,,,,,,,,,old
03/18/2020,,BOP,Big Spring FCI,Big Spring,Texas,,,,,,,,,,,,,,,,,,,BIG SPRING FCI,1900 SIMLER AVENUE,79720,,,0,0,,,,0,0,,in BJS (matched),Texas,4.4611500000000003E+20,4.46115E+19,BIG SPRING FCI,1900 SIMLER AVENUE,BIG SPRING,Texas,79720,Males only,Minimum/low,None,Federal Bureau of Prisons,1608,,Yes,Big Spring-Camp,No,No,,,old
03/18/2020,,BOP,Bryan FPC,Bryan,Texas,,,,,,,,,,,,,,,,,,,BRYAN FPC,1100 URSULINE AVENUE,77803,,,0,0,,,,0,0,,in BJS (matched),Texas,4.46022E+20,,BRYAN FPC,1100 URSULINE AVENUE,BRYAN,Texas,77803,Females only,Minimum/low,None,Federal Bureau of Prisons,,910,No,,No,No,,,old
03/18/2020,,BOP,Carswell FMC,Fort Worth,Texas,,0,0,,0,0,0,,0,,,,,,,,,,CARSWELL FMC,NAVAL AIR STATION - J ST BLDG 3000 ROOM 1G015,76127,,,0,0,,,,0,0,,in BJS (matched),Texas,4.4622099999999997E+20,4.4622099999999997E+20,CARSWELL FMC,NAVAL AIR STATION - J ST BLDG 3000 ROOM 1G015,FORT WORTH,Texas,76127,Females only,Administrative (e.g. Federal medical facilities),None,Federal Bureau of Prisons,,1397,Yes,Carswell-Camp,No,No,,Houses offenders requiring specialized medical or mental health care,old
03/18/2020,,BOP,County Rehabilitation Center (RRC),Tyler,Texas,,,,,,,,,,,,,,,,,,,,"12137 & 12181 COUNTY RD 46 TYLER, Texas",75704,,,0,0,,,,0,0,,not in BJS,,,,,,,,,,,,,,,,,,,,,old
